File,Feature ID,Messaggio di errore
A405_ARIGNANO_ple.gml,2974,Auto intersezione
B058_BORRIANA_ple.gml,2250,Auto intersezione
B280_BURONZO_ple.gml,1148,Auto intersezione
B285_BUSCA_ple.gml,8331,Auto intersezione
B285_BUSCA_ple.gml,14823,Auto intersezione
B425_CALOSSO_ple.gml,6566,Auto intersezione
B425_CALOSSO_ple.gml,6581,Auto intersezione con anello
B431_CALTIGNAGA_ple.gml,2461,Auto intersezione con anello
B482_CAMINO_ple.gml,2392,Auto intersezione
B752_CARCOFORO_ple.gml,2021,Auto intersezione
B782_CARISIO_ple.gml,1609,Auto intersezione
B823_CARPIGNANO SESIA_ple.gml,6737,Auto intersezione
C047_CASTAGNOLE MONFERRATO_ple.gml,1745,Auto intersezione con anello
C049_CASTAGNOLE LANZE_ple.gml,11420,Troppi pochi punti nella geometria
C166_CASTELLETTO TICINO_ple.gml,11578,Troppi pochi punti nella geometria
C550_CERVERE_ple.gml,1117,Auto intersezione
C792_CLAVESANA_ple.gml,4205,Auto intersezione
C819_COGGIOLA_ple.gml,10654,Auto intersezione
D119_COSTIGLIOLE D`ASTI_ple.gml,17588,Troppi pochi punti nella geometria
D120_COSTIGLIOLE SALUZZO_ple.gml,813,Auto intersezione
D207_CUNICO_ple.gml,3414,Troppi pochi punti nella geometria
D332_DOMODOSSOLA_ple.gml,10962,Auto intersezione
D332_DOMODOSSOLA_ple.gml,30891,Troppi pochi punti nella geometria
D332_DOMODOSSOLA_ple.gml,30894,Troppi pochi punti nella geometria
D332_DOMODOSSOLA_ple.gml,30904,Troppi pochi punti nella geometria
D332_DOMODOSSOLA_ple.gml,30906,Troppi pochi punti nella geometria
D492_FARA NOVARESE_ple.gml,3938,Auto intersezione con anello
D528_FELIZZANO_ple.gml,920,Auto intersezione
D528_FELIZZANO_ple.gml,5042,Auto intersezione
D675_FONTANETO D`AGOGNA_ple.gml,14709,Auto intersezione
D706_FORMAZZA_ple.gml,3880,Auto intersezione
D706_FORMAZZA_ple.gml,5486,Auto intersezione
D706_FORMAZZA_ple.gml,9074,Troppi pochi punti nella geometria
D712_FORMIGLIANA_ple.gml,431,Auto intersezione
D781_FRASSINETTO_ple.gml,14098,Auto intersezione
D872_GALLIATE_ple.gml,23058,Auto intersezione con anello
D944_GAVI_ple.gml,13859,Auto intersezione
D944_GAVI_ple.gml,15843,Auto intersezione
E020_GIAVENO_ple.gml,24160,Auto intersezione
E130_GRAGLIA_ple.gml,7967,Troppi pochi punti nella geometria
E130_GRAGLIA_ple.gml,7968,Auto intersezione
E191_GRONDONA_ple.gml,6741,Auto intersezione
E314_INVORIO_ple.gml,15016,Auto intersezione
E338_ISOLA D`ASTI_ple.gml,4997,Auto intersezione
E583_LIGNANA_ple.gml,427,Auto intersezione
E790_MACUGNAGA_ple.gml,6589,Auto intersezione
E790_MACUGNAGA_ple.gml,8339,Auto intersezione
E808_MAGLIANO ALPI_ple.gml,818,Auto intersezione
F015_MASIO_ple.gml,6360,Auto intersezione
F281_MOLARE_ple.gml,1868,Auto intersezione
F281_MOLARE_ple.gml,4165,Auto intersezione
F351_MONDOVI`_ple.gml,15864,Auto intersezione
F351_MONDOVI`_ple.gml,26472,Auto intersezione
F369_MONGRANDO_ple.gml,13485,Auto intersezione
F385_MONTA_ple.gml,2412,Auto intersezione con anello
F527_MONTEGROSSO D`ASTI_ple.gml,2853,Auto intersezione con anello
F556_MONTEMAGNO MONFERRATO_ple.gml,7676,Troppi pochi punti nella geometria
F707_MORANO SUL PO_ple.gml,1786,Auto intersezione
F774_MOTTA DEI CONTI_ple.gml,3395,Auto intersezione
F814_MURISENGO_ple.gml,6186,Auto intersezione
F846_NARZOLE_ple.gml,10181,Auto intersezione con anello
F952_NOVARA_ple.gml,19137,Auto intersezione
F965_NOVI LIGURE_ple.gml,16039,Auto intersezione con anello
F972_NUCETTO_ple.gml,322,Auto intersezione
F997_ODALENGO GRANDE_ple.gml,2738,Auto intersezione
G087_ORBASSANO_ple.gml,9258,Auto intersezione con anello
G528_PEZZANA_ple.gml,1848,Auto intersezione
G960_POZZOL GROPPO_ple.gml,3380,Auto intersezione
G970_PRADLEVES_ple.gml,394,Auto intersezione con anello
H085_PRUNETTO_ple.gml,167,Auto intersezione
H367_ROBASSOMERO_ple.gml,21,Auto intersezione
H386_ROCCA CANAVESE_ple.gml,16731,Auto intersezione
H465_ROCCHETTA LIGURE_ple.gml,3011,Auto intersezione
H538_RONCO BIELLESE_ple.gml,5312,Troppi pochi punti nella geometria
H900_SAN GIORIO DI SUSA_ple.gml,933,Auto intersezione con anello
I076_SAN PAOLO SOLBRITO_ple.gml,4160,Auto intersezione
I144_S SALVATORE MONFERRATO_ple.gml,2317,Auto intersezione
I144_S SALVATORE MONFERRATO_ple.gml,9738,Auto intersezione
I249_SANTA MARIA MAGGIORE_ple.gml,8773,Auto intersezione con anello
I466_SAUZE D`OULX_ple.gml,10533,Auto intersezione
I470_SAVIGLIANO_ple.gml,18137,Auto intersezione con anello
I545_SCOPELLO_ple.gml,1212,Auto intersezione
I678_SESSAME_ple.gml,3437,Troppi pochi punti nella geometria
I847_SORDEVOLO_ple.gml,2749,Auto intersezione con anello
I880_SOZZAGO_ple.gml,341,Auto intersezione con anello
I970_STRAMBINO_ple.gml,14896,Auto intersezione
I984_STROPPIANA_ple.gml,4141,Auto intersezione
L165_TICINETO_ple.gml,3422,Auto intersezione
L356_TRECATE_ple.gml,2208,Auto intersezione con anello
L516_USSEGLIO_ple.gml,8504,Auto intersezione con anello
L556_VALDENGO_ple.gml,3582,Auto intersezione
L580_VALGRANA_ple.gml,7068,Auto intersezione con anello
L727_VENARIA_ple.gml,6280,Auto intersezione con anello
M094_VIU`_ple.gml,27279,Auto intersezione
M123_VOLTAGGIO_ple.gml,650,Auto intersezione
M133_VOLVERA_ple.gml,3987,Auto intersezione con anello
M373_CAMPIGLIA CERVO_ple.gml,17076,Troppi pochi punti nella geometria
M373_CAMPIGLIA CERVO_ple.gml,17077,Troppi pochi punti nella geometria
M417_VALDILANA_ple.gml,14159,Auto intersezione
M417_VALDILANA_ple.gml,34863,Auto intersezione
M417_VALDILANA_ple.gml,35388,Troppi pochi punti nella geometria
M417_VALDILANA_ple.gml,35670,Auto intersezione
M417_VALDILANA_ple.gml,35702,Troppi pochi punti nella geometria
